center_count,sigma,lambda,cv_mse,train_mse,test_mse
30.0,0.5,0.1,0.2562562652369504,0.1751772448640999,0.263420861748877
25.0,0.5,0.1,0.2572241548869008,0.17647143880008195,0.2626034421325677
20.0,0.5,0.1,0.2589498681169723,0.17804654789605256,0.26071830370732885
15.0,0.5,0.1,0.2675180074950373,0.19199060124406003,0.27785296412847377
20.0,0.3,0.1,0.2694832658210368,0.16875771248674265,0.2530512487905437
30.0,0.3,0.1,0.2747208418002387,0.15866909391106454,0.2537945980983277
25.0,0.3,0.1,0.2760997225603049,0.16155850496224905,0.25612015750233075
30.0,0.3,1.0,0.27967990592664516,0.1812987197431463,0.26028183830771306
30.0,0.5,0.01,0.28129327513266866,0.1669239272572443,0.2658800916601649
25.0,0.5,0.01,0.28185663899026236,0.16716593435535068,0.2655898387538239
25.0,0.2,0.1,0.28282623472502894,0.15573505442889884,0.2582696424288715
15.0,0.5,1e-06,0.2834759160598205,0.1842276051528022,0.2875390041367238
15.0,0.5,0.0001,0.28427309726803507,0.1842307160990719,0.2875092298794346
20.0,0.5,0.01,0.2853813282299904,0.1674964440941978,0.2636165744786524
25.0,0.3,1.0,0.2862433686815563,0.18537907232014436,0.26094741218125206
15.0,0.5,0.01,0.29004400711462885,0.18580116370666322,0.2868217359884824
20.0,0.3,1.0,0.29338330264604323,0.19443235699162492,0.25638359155636886
30.0,0.2,1.0,0.294383966091344,0.17124848666440268,0.2505931011328925
25.0,0.2,1.0,0.30398395979351767,0.18077672693928623,0.2598025358849314
30.0,0.2,0.1,0.3071035370799062,0.1477610755926201,0.24685496017499398
15.0,0.3,0.1,0.3079644167320278,0.21859431414090635,0.31740890282585604
20.0,0.2,0.1,0.3083851113398685,0.2008787443492755,0.25518250748664956
20.0,0.5,1e-06,0.3175381161363456,0.1664739859385212,0.2649066850414586
20.0,0.5,0.0001,0.3186508910640914,0.16647436443516714,0.26484656049106614
15.0,0.3,1.0,0.319936314665023,0.23766062012610983,0.3124346177472211
30.0,1.0,0.0001,0.3304631233949368,0.22987273540977404,0.2779961307975311
20.0,0.2,1.0,0.33218492071312317,0.2273834865275686,0.26607219409097455
25.0,1.0,0.0001,0.3328159782250054,0.23483068880446645,0.2806687221344449
20.0,1.0,0.0001,0.3398310672477765,0.24164104102806863,0.28456525600808513
30.0,0.2,0.01,0.3436896121308834,0.1471436079398062,0.24876161304549746
15.0,0.3,0.01,0.34925662513332184,0.21753413133862096,0.31836164237289
30.0,0.3,0.01,0.35420523149596195,0.15510887294831535,0.24858815065180534
25.0,0.3,0.01,0.3563394462693984,0.16025333834999195,0.25491660770520774
25.0,0.2,0.01,0.3585019179474461,0.15512957711484693,0.2609013961743721
30.0,0.1,0.1,0.36144502250365484,0.16550478500394392,0.2925839468099677
15.0,1.0,0.0001,0.36336580653855705,0.25359995765224785,0.29181307053578115
